# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_11
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
10.8001   249.371
12.3646   237.772
13.8767   227.432
15.3544   218.08
16.8103   209.526
18.2537   201.636
19.6921   194.31
21.1311   187.467
22.5759   181.046
24.0302   174.997
25.498   169.279
26.9822   163.86
28.4859   158.709
30.0118   153.804
31.5622   149.121
33.1395   144.646
34.7462   140.359
36.3841   136.25
38.0556   132.304
39.7626   128.513
41.5072   124.864
43.2914   121.35
45.1173   117.964
46.9868   114.697
48.902   111.544
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.37596   463.943
3.91725   432.843
7.02076   399.306
9.61141   374.473
11.949   354.212
14.1369   336.892
16.2293   321.663
18.2594   308.016
20.2491   295.621
22.214   284.246
24.166   273.724
26.1144   263.926
28.0667   254.753
30.0291   246.128
32.0072   237.988
34.0055   230.281
36.0284   222.962
38.0798   215.997
40.1631   209.353
42.2819   203.004
44.4392   196.928
46.6382   191.102
48.8817   185.509
51.1727   180.135
53.5142   174.964
55.9088   169.984
58.3595   165.184
60.869   160.554
63.4401   156.083
65.575   151.764
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.975108   552.959
4.22476   513.49
7.83411   474.919
10.8734   446.071
13.6282   422.411
16.2142   402.108
18.6929   384.207
21.1018   368.131
23.4661   353.501
25.8036   340.052
28.1283   327.593
30.4509   315.975
32.78   305.086
35.1232   294.836
37.4866   285.152
39.8759   275.973
42.2962   267.251
44.7521   258.941
47.2476   251.008
49.7871   243.422
52.3742   236.155
55.0127   229.183
57.706   222.486
60.4579   216.046
63.2717   209.846
66.1508   203.872
69.0988   198.109
72.119   192.547
75.2148   187.176
77.7757   181.983
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.804389   1279.2
11.9118   1136.36
20.3061   1044.12
27.243   976.481
33.4594   921.69
39.2483   875.122
44.7629   834.375
50.0956   798.019
55.308   765.121
60.4434   735.036
65.5345   707.288
70.6067   681.527
75.6807   657.479
80.7733   634.924
85.8992   613.689
91.0709   593.629
96.2997   574.624
101.596   556.574
106.969   539.393
112.427   523.005
117.98   507.349
123.633   492.367
129.396   478.012
135.276   464.238
141.28   451.008
147.414   438.287
153.687   426.045
160.105   414.251
166.675   402.883
172.893   391.915
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.509685   1446.02
12.7558   1290.45
22.1923   1187.21
30.0272   1111.06
37.0644   1049.17
43.6269   996.471
49.8848   950.284
55.9407   909.022
61.8633   871.648
67.7013   837.434
73.4914   805.857
79.2621   776.519
85.0366   749.113
90.834   723.396
96.6708   699.171
102.561   676.273
108.518   654.571
114.553   633.95
120.677   614.313
126.9   595.578
133.231   577.672
139.679   560.532
146.253   544.102
152.961   528.336
159.812   513.187
166.815   498.617
173.976   484.591
181.304   471.078
188.808   458.048
195.073   445.477
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.58237   1704.47
14.1755   1536.23
25.1411   1417.72
34.3524   1329.03
42.6722   1256.44
50.4571   1194.31
57.8975   1139.68
65.11   1090.75
72.1728   1046.32
79.1422   1005.58
86.0605   967.911
92.9606   932.867
99.8694   900.089
106.811   869.293
113.801   840.253
120.861   812.78
128.003   786.716
135.241   761.929
142.589   738.308
150.059   715.754
157.661   694.183
165.406   673.521
173.305   653.705
181.369   634.676
189.607   616.384
198.028   598.781
206.645   581.828
215.464   565.487
224.498   549.723
233.098   534.508
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.436421   2726.93
23.2519   2443.59
40.8968   2251.59
55.6652   2108.37
68.9661   1991.51
81.3855   1891.77
93.236   1804.23
104.708   1725.97
115.932   1655.04
126.996   1590.07
137.972   1530.1
148.911   1474.36
159.857   1422.29
170.849   1373.41
181.916   1327.37
193.085   1283.85
204.381   1242.6
215.825   1203.4
227.439   1166.08
239.241   1130.47
251.249   1096.43
263.48   1063.86
275.95   1032.63
288.678   1002.66
301.676   973.874
314.962   946.185
328.552   919.531
342.46   893.85
356.702   869.09
369.915   845.201
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.378944   2902.16
23.8345   2614.57
42.5522   2411.61
58.2794   2259.46
72.4692   2135
85.7328   2028.6
98.3982   1935.12
110.666   1851.46
122.671   1775.57
134.511   1706.03
146.258   1641.79
157.97   1582.06
169.692   1526.23
181.464   1473.81
193.318   1424.41
205.284   1377.69
217.387   1333.4
229.652   1291.31
242.099   1251.21
254.75   1212.94
267.623   1176.36
280.736   1141.34
294.109   1107.76
307.757   1075.53
321.699   1044.56
335.95   1014.76
350.529   986.086
365.451   958.45
380.732   931.801
396.272   906.084
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.32281   3051.31
24.2905   2771.02
43.9751   2558.38
60.578   2398.19
75.5842   2266.86
89.6259   2154.4
103.044   2055.49
116.048   1966.89
128.779   1886.46
141.34   1812.72
153.805   1744.57
166.237   1681.17
178.682   1621.88
191.183   1566.19
203.774   1513.68
216.486   1464.03
229.345   1416.93
242.379   1372.15
255.608   1329.49
269.056   1288.76
282.743   1249.83
296.686   1212.54
310.908   1176.78
325.425   1142.46
340.256   1109.47
355.419   1077.74
370.933   1047.17
386.813   1017.72
403.079   989.322
419.227   961.912
+KVIDCutLine
OK:Bragg_line
right
9
1.308e-09   363.609
4.0701e-08   481.727
3.45424e-07   564.67
0.0188119   1288.21
0.0329563   1450.42
0.0725577   1708.24
0.0333605   2729.99
0.046772   2904.25
0.0626632   3062.34
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_322
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_322
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.32613   333.261
2.85865   314.128
5.23664   287.734
7.16352   268.87
8.87994   253.72
10.4744   240.895
11.9914   229.694
13.4577   219.71
14.8905   210.678
16.3022   202.418
17.7018   194.799
19.0963   187.724
20.4915   181.116
21.892   174.915
23.302   169.074
24.7249   163.553
26.1636   158.319
27.6213   153.346
29.1003   148.608
30.6031   144.086
32.132   139.764
33.6892   135.625
35.2768   131.656
36.8966   127.846
38.551   124.184
40.2418   120.661
41.9709   117.267
43.7402   113.996
45.5519   110.842
47.4077   107.797
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.33399   448.145
3.79987   418.1
6.81   385.713
9.32253   361.732
11.5895   342.168
13.7112   325.442
15.7403   310.735
17.7089   297.558
19.6381   285.589
21.5433   274.605
23.436   264.443
25.325   254.981
27.2178   246.123
29.1203   237.794
31.0379   229.933
32.9752   222.49
34.9362   215.423
36.9247   208.696
38.9442   202.281
40.9978   196.15
43.0888   190.281
45.2202   184.655
47.3946   179.254
49.6151   174.064
51.8843   169.07
54.205   164.26
56.5799   159.624
59.0118   155.153
61.5032   150.835
63.3907   146.665
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.945217   534.138
4.09846   496.006
7.59928   458.757
10.547   430.9
13.2186   408.05
15.7265   388.445
18.1301   371.158
20.466   355.634
22.7585   341.506
25.0251   328.519
27.2791   316.486
29.5309   305.267
31.7891   294.753
34.0607   284.854
36.352   275.501
38.6683   266.639
41.0145   258.215
43.395   250.189
45.814   242.529
48.2756   235.203
50.7831   228.185
53.3404   221.452
55.951   214.984
58.6179   208.765
61.3449   202.777
64.1352   197.007
66.992   191.442
69.9188   186.071
72.9188   180.882
75.2238   175.869
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.779469   1235.57
11.5547   1097.61
19.696   1008.56
26.4234   943.237
32.4518   890.332
38.0654   845.365
43.4129   806.018
48.5838   770.913
53.6377   739.146
58.617   710.094
63.5531   683.301
68.4708   658.425
73.39   635.203
78.3272   613.423
83.2963   592.917
88.3098   573.546
93.3785   555.194
98.5129   537.763
103.72   521.171
109.011   505.346
114.392   490.227
119.872   475.758
125.458   461.895
131.157   448.594
136.975   435.817
142.92   423.532
148.999   411.707
155.218   400.318
161.585   389.338
167.106   378.746
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.493646   1396.72
12.3739   1246.46
21.5262   1146.77
29.1245   1073.23
35.9489   1013.48
42.3129   962.588
48.3811   917.988
54.2532   878.145
59.9959   842.054
65.6565   809.017
71.2704   778.524
76.8653   750.195
82.4636   723.731
88.0841   698.897
93.7424   675.503
99.4528   653.392
105.227   632.434
111.077   612.521
117.013   593.558
123.045   575.466
129.182   558.173
135.431   541.621
141.802   525.755
148.304   510.529
154.944   495.899
161.73   481.828
168.67   468.283
175.771   455.232
183.043   442.649
188.34   430.507
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.564368   1646.39
13.7522   1483.88
24.3877   1369.44
33.3211   1283.79
41.3895   1213.7
48.9389   1153.7
56.1538   1100.95
63.1475   1053.7
69.996   1010.79
76.7534   971.453
83.4612   935.081
90.1512   901.241
96.8497   869.588
103.578   839.85
110.356   811.808
117.199   785.277
124.123   760.107
131.139   736.172
138.262   713.36
145.502   691.58
152.87   670.75
160.378   650.796
168.034   631.66
175.849   613.283
183.832   595.617
191.994   578.617
200.344   562.245
208.89   546.463
217.645   531.24
225.585   516.545
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.422741   2633.97
22.5403   2360.49
39.6439   2175.16
53.9579   2036.92
66.8485   1924.12
78.8841   1827.82
90.3675   1743.33
101.484   1667.78
112.357   1599.3
123.077   1536.59
133.71   1478.69
144.306   1424.88
154.91   1374.6
165.556   1327.43
176.274   1282.97
187.09   1240.96
198.028   1201.12
209.11   1163.29
220.355   1127.24
231.781   1092.86
243.406   1059.99
255.247   1028.54
267.318   998.383
279.637   969.446
292.218   941.643
305.076   914.905
318.227   889.163
331.686   864.363
345.466   840.452
359.555   817.38
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.366954   2803.25
23.1233   2525.46
41.2773   2329.47
56.5298   2182.54
70.2907   2062.37
83.1527   1959.62
95.434   1869.35
107.329   1788.57
118.971   1715.29
130.45   1648.14
141.839   1586.1
153.194   1528.43
164.559   1474.52
175.971   1423.89
187.463   1376.19
199.063   1331.08
210.796   1288.31
222.684   1247.66
234.75   1208.94
247.011   1171.98
259.489   1136.65
272.198   1102.84
285.159   1070.4
298.386   1039.29
311.897   1009.37
325.709   980.603
339.836   952.905
354.296   926.216
369.105   900.479
383.769   875.642
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.28244   2947.35
23.5552   2676.72
42.6408   2471.42
58.7371   2316.77
73.2844   2189.98
86.8959   2081.4
99.9017   1985.91
112.506   1900.37
124.846   1822.72
137.018   1751.52
149.098   1685.71
161.145   1624.5
173.205   1567.26
185.317   1513.49
197.516   1462.79
209.831   1414.84
222.29   1369.37
234.916   1326.13
247.731   1284.94
260.757   1245.61
274.014   1208.02
287.519   1172.01
301.292   1137.48
315.35   1104.34
329.712   1072.48
344.395   1041.83
359.416   1012.32
374.793   983.878
390.541   956.449
406.579   929.978
+KVIDCutLine
OK:Bragg_line
right
9
1.96912e-09   351.208
3.78172e-08   465.313
3.33923e-07   545.442
0.0181975   1244.27
0.03188   1400.97
0.0701889   1650.03
0.0322554   2636.92
0.0452227   2805.28
0.0605879   2958.01
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_323
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_323
+KVIDZALine
ID:Z=1 A=1
1	1
30
0.517036   253.826
1.20774   239.117
2.24792   218.94
3.07136   204.515
3.79208   192.931
4.45196   183.123
5.07216   174.558
5.66513   166.924
6.23905   160.019
6.79966   153.704
7.35116   147.88
7.89681   142.471
8.43921   137.42
8.98049   132.681
9.52247   128.215
10.0667   123.996
10.6143   119.996
11.1669   116.194
11.7253   112.574
12.2907   109.118
12.8638   105.816
13.4458   102.652
14.0374   99.6197
14.6394   96.7082
15.2525   93.9099
15.8778   91.2176
16.5158   88.6248
17.1674   86.1258
17.8332   83.7153
17.8584   81.3961
+KVIDZALine
ID:Z=1 A=2
1	2
30
0.518629   341.337
1.6244   318.49
2.94195   293.798
4.01657   275.51
4.96904   260.588
5.8474   247.832
6.67683   236.614
7.47249   226.562
8.24452   217.432
9.00009   209.051
9.74455   201.299
10.4819   194.08
11.2158   187.321
11.9488   180.966
12.6831   174.967
13.421   169.287
14.1642   163.894
14.9143   158.759
15.6726   153.863
16.4407   149.182
17.2197   144.702
18.011   140.406
18.8155   136.283
19.6345   132.318
20.469   128.505
21.3201   124.832
22.1888   121.291
23.0763   117.875
23.9834   114.576
24.9114   111.389
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.367826   406.799
1.78156   377.806
3.31231   349.413
4.57216   328.174
5.69412   310.75
6.73202   295.798
7.71433   282.613
8.65837   270.773
9.57572   259.996
10.4746   250.089
11.3612   240.91
12.2405   232.351
13.1161   224.329
13.9914   216.776
14.8691   209.64
15.7515   202.876
16.6408   196.448
17.539   190.323
18.4477   184.475
19.3684   178.883
20.303   173.525
21.2525   168.385
22.2187   163.447
23.2026   158.698
24.2057   154.125
25.2293   149.718
26.2747   145.467
27.343   141.364
28.4355   137.399
29.5536   133.568
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.303959   941.408
5.13065   836.177
8.66237   768.193
11.5169   718.324
14.0313   677.933
16.3396   643.603
18.5117   613.563
20.5895   586.762
22.6007   562.508
24.565   540.328
26.4972   519.872
28.4083   500.879
30.3073   483.148
32.2017   466.52
34.0978   450.862
36.0009   436.071
37.9158   422.057
39.8466   408.747
41.7973   396.078
43.7712   383.993
45.7719   372.447
47.8023   361.397
49.8654   350.809
51.9641   340.65
54.1012   330.89
56.2793   321.506
58.5011   312.473
60.7692   303.772
63.0863   295.383
65.1298   287.293
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.1931   1064.12
5.50549   949.682
9.47722   873.646
12.7026   817.541
15.5503   771.954
18.1682   733.124
20.6336   699.094
22.9937   668.692
25.2794   641.152
27.5126   615.942
29.7099   592.672
31.8838   571.051
34.0445   550.854
36.2003   531.899
38.3583   514.044
40.5248   497.167
42.7048   481.17
44.9032   465.968
47.1246   451.491
49.3728   437.678
51.6515   424.475
53.9644   411.836
56.3148   399.721
58.706   388.092
61.1412   376.918
63.6233   366.17
66.1556   355.823
68.7409   345.853
71.3823   336.239
74.0827   326.96
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.219988   1254.19
6.10785   1130.38
10.7297   1043.06
14.5289   977.705
17.9027   924.209
21.0152   878.426
23.9536   838.163
26.7712   802.097
29.5039   769.352
32.1767   739.322
34.8088   711.559
37.415   685.727
40.007   661.565
42.5947   638.863
45.1866   617.454
47.7896   597.2
50.4102   577.983
53.0541   559.708
55.7265   542.29
58.4322   525.658
61.1757   509.751
63.9612   494.514
66.7929   479.898
69.6748   465.863
72.6105   452.369
75.6038   439.382
78.6585   426.874
81.7783   414.817
84.9666   403.185
88.0929   391.957
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.165239   2006.66
10.0308   1798.17
17.4621   1656.69
23.5492   1551.15
28.9393   1465.03
33.9012   1391.52
38.5778   1327
43.0563   1269.32
47.3948   1217.03
51.6345   1169.16
55.8065   1124.94
59.9343   1083.86
64.0376   1045.47
68.1318   1009.44
72.2303   975.498
76.345   943.413
80.4858   913.001
84.6619   884.1
88.8817   856.577
93.1528   830.317
97.4819   805.218
101.877   781.192
106.343   758.161
110.887   736.057
115.516   714.819
120.234   694.393
125.048   674.727
129.963   655.778
134.985   637.506
139.993   619.877
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.143704   2135.51
10.2768   1923.84
18.1677   1774.27
24.6576   1662.12
30.415   1570.39
35.7208   1491.96
40.7254   1423.05
45.5206   1361.38
50.1677   1305.44
54.7106   1254.17
59.182   1206.82
63.6073   1162.78
68.0069   1121.62
72.3976   1082.97
76.7938   1046.55
81.2078   1012.11
85.6506   979.447
90.1318   948.405
94.66   918.836
99.2446   890.614
103.892   863.634
108.61   837.802
113.405   813.036
118.285   789.262
123.255   766.414
128.322   744.436
133.493   723.275
138.773   702.883
144.17   683.217
149.565   664.238
+KVIDZALine
ID:Z=3 A=8
3	8
30
0.498633   2245.16
10.4265   2038.98
18.732   1882.33
25.5898   1764.29
31.6843   1667.5
37.3065   1584.63
42.6133   1511.73
47.7006   1446.43
52.6327   1387.16
57.4557   1332.8
62.2039   1282.56
66.9042   1235.82
71.5779   1192.12
76.243   1151.06
80.9146   1112.36
85.6056   1075.76
90.3277   1041.03
95.0916   1008.01
99.9054   976.552
104.78   946.522
109.722   917.806
114.739   890.306
119.839   863.935
125.029   838.616
130.317   814.281
135.707   790.866
141.209   768.318
146.828   746.588
152.569   725.628
158.401   705.399
+KVIDCutLine
OK:Bragg_line
right
9
3.72587e-10   267.597
0.000193471   354.468
0.000329376   415.448
0.00793845   948.071
0.0130334   1067.37
0.0269757   1256.97
0.015297   2008.92
0.0201729   2137.06
0.0258708   2253.28
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_324
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_324
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.31695   343.343
2.83865   323.631
5.20001   296.438
7.11341   277.002
8.81783   261.395
10.4011   248.181
11.9076   236.641
13.3637   226.354
14.7865   217.049
16.1883   208.54
17.5781   200.69
18.9629   193.401
20.3484   186.592
21.7393   180.204
23.1394   174.186
24.5523   168.497
25.9811   163.106
27.4286   157.981
28.8974   153.1
30.3897   148.441
31.9081   143.988
33.4544   139.724
35.0309   135.635
36.6396   131.709
38.2826   127.937
39.9616   124.306
41.6787   120.81
43.4357   117.441
45.2349   114.19
47.0778   111.053
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.3247   461.702
3.77324   430.748
6.76229   397.381
9.25726   372.674
11.5083   352.517
13.6153   335.285
15.6302   320.133
17.585   306.557
19.5008   294.225
21.3927   282.908
23.2722   272.439
25.1481   262.69
27.0277   253.565
28.917   244.984
30.8213   236.885
32.745   229.216
34.6924   221.936
36.6671   215.005
38.6724   208.395
40.7119   202.079
42.7884   196.032
44.905   190.235
47.0643   184.671
49.2694   179.324
51.5229   174.179
53.8274   169.224
56.1859   164.447
58.6009   159.84
61.0751   155.392
62.9654   151.096
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.938649   550.295
4.0697   511.01
7.54602   472.634
10.473   443.933
13.126   420.393
15.6164   400.193
18.0033   382.382
20.3228   366.389
22.5993   351.833
24.8501   338.452
27.0884   326.055
29.3246   314.498
31.567   303.664
33.8228   293.466
36.0981   283.831
38.3983   274.699
40.7282   266.02
43.0922   257.752
45.4945   249.86
47.9388   242.312
50.429   235.081
52.9686   228.144
55.5609   221.481
58.2094   215.074
60.9176   208.904
63.6885   202.959
66.5255   197.227
69.432   191.693
72.4112   186.348
74.7153   181.181
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.774074   1272.95
11.4738   1130.82
19.5581   1039.07
26.2385   971.77
32.2247   917.262
37.7992   870.933
43.1093   830.396
48.2441   794.228
53.2629   761.499
58.2073   731.567
63.1091   703.962
67.9926   678.334
72.8775   654.408
77.7803   631.969
82.7149   610.842
87.6935   590.885
92.7271   571.976
97.8252   554.018
102.997   536.923
108.251   520.619
113.596   505.043
119.038   490.137
124.584   475.853
130.242   462.149
136.021   448.986
141.925   436.329
147.961   424.147
154.138   412.413
160.461   401.101
165.994   390.189
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.490252   1438.98
12.2871   1284.17
21.3755   1181.47
28.9206   1105.69
35.6974   1044.13
42.0168   991.702
48.0427   945.752
53.8739   904.703
59.5766   867.52
65.1977   833.482
70.7725   802.066
76.3283   772.879
81.8877   745.614
87.469   720.027
93.088   695.924
98.7587   673.144
104.493   651.553
110.302   631.036
116.197   611.499
122.187   592.859
128.28   575.044
134.487   557.99
140.815   541.644
147.271   525.957
153.865   510.884
160.603   496.387
167.495   482.431
174.548   468.986
181.769   456.022
187.092   443.513
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.560459   1696.21
13.6557   1528.77
24.2167   1410.86
33.0877   1322.63
41.0997   1250.4
48.5964   1188.6
55.761   1134.25
62.7059   1085.56
69.5065   1041.37
76.2169   1000.83
82.878   963.357
89.5213   928.492
96.1731   895.881
102.855   865.243
109.586   836.35
116.382   809.017
123.257   783.086
130.225   758.425
137.298   734.923
144.487   712.484
151.804   691.022
159.259   670.465
166.862   650.749
174.623   631.816
182.551   613.615
190.657   596.101
198.949   579.232
207.437   562.974
216.13   547.289
224.052   532.15
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.419829   2713.66
22.3821   2431.91
39.3662   2240.96
53.5801   2098.53
66.3807   1982.32
78.3322   1883.11
89.7355   1796.06
100.774   1718.21
111.572   1647.66
122.217   1583.05
132.775   1523.4
143.299   1467.96
153.828   1416.17
164.4   1367.55
175.044   1321.76
185.785   1278.47
196.647   1237.43
207.652   1198.45
218.818   1161.32
230.165   1125.88
241.709   1092.03
253.467   1059.62
265.455   1028.56
277.689   998.741
290.182   970.098
302.951   942.549
316.012   916.029
329.376   890.478
343.063   865.843
357.067   842.073
+KVIDZALine
ID:Z=3 A=7
3	7
30
0.364436   2888.07
22.961   2601.85
40.988   2399.94
56.1339   2248.56
69.7986   2124.75
82.5708   2018.89
94.7664   1925.9
106.579   1842.66
118.138   1767.16
129.538   1697.97
140.849   1634.07
152.124   1574.64
163.41   1519.1
174.743   1466.95
186.154   1417.79
197.674   1371.32
209.325   1327.25
221.13   1285.38
233.113   1245.48
245.289   1207.4
257.68   1171.01
270.301   1136.17
283.171   1102.76
296.307   1070.69
309.724   1039.87
323.441   1010.24
337.47   981.697
351.83   954.199
366.536   927.683
381.139   902.095
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.27352   3036.52
23.3899   2757.7
42.3418   2546.18
58.3256   2386.85
72.7713   2256.21
86.2878   2144.35
99.2031   2045.98
111.719   1957.84
123.973   1877.85
136.061   1804.49
148.057   1736.69
160.019   1673.62
171.995   1614.65
184.023   1559.25
196.138   1507.02
208.367   1457.62
220.738   1410.77
233.277   1366.22
246.003   1323.78
258.938   1283.27
272.102   1244.53
285.515   1207.43
299.192   1171.86
313.154   1137.71
327.416   1104.89
341.997   1073.31
356.914   1042.9
372.183   1013.6
387.823   985.345
403.771   958.073
+KVIDCutLine
OK:Bragg_line
right
9
1.55309e-09   361.833
3.91678e-08   479.39
3.30027e-07   561.942
0.0180742   1281.91
0.031664   1443.35
0.0697133   1699.94
0.0320382   2716.7
0.0449182   2890.15
0.0601798   3047.49
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_331
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q2.FPGAEnergy
<VARY> QL1.Amplitude
<PARAMETER> Runlist=7000-17999
<PARAMETER> ManualWidth=0.300000
<PARAMETER> ManualWidthScaling=0.050000
<PARAMETER> IDTelescopes=ID_SI1_SI2_331
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.28066   330.66
2.77576   311.627
5.08571   285.485
6.95644   266.803
8.62226   251.803
10.1692   239.104
11.6409   228.013
13.0628   218.127
14.452   209.183
15.8204   201.005
17.1768   193.46
18.5279   186.454
19.8795   179.91
21.236   173.769
22.6012   167.984
23.9788   162.516
25.3715   157.333
26.782   152.406
28.213   147.712
29.6668   143.234
31.1455   138.951
32.6512   134.851
34.186   130.919
35.7518   127.144
37.3506   123.515
38.9842   120.024
40.6545   116.661
42.3635   113.42
44.1129   110.294
45.9046   107.275
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.29211   444.633
3.69402   414.795
6.6178   382.719
9.05718   358.969
11.2574   339.595
13.3161   323.032
15.2845   308.469
17.1937   295.42
19.0643   283.567
20.9112   272.69
22.7455   262.626
24.576   253.255
26.4097   244.483
28.2524   236.234
30.1093   228.448
31.9849   221.076
33.8831   214.077
35.8074   207.414
37.7614   201.059
39.748   194.985
41.7705   189.171
43.8313   183.597
45.9336   178.246
48.0799   173.104
50.2729   168.156
52.5151   163.39
54.8094   158.796
57.158   154.365
59.564   150.086
60.23   145.953
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.914628   530.001
3.97335   492.274
7.36685   455.43
10.2225   427.877
12.8096   405.277
15.2371   385.884
17.5628   368.784
19.822   353.427
22.0384   339.45
24.2291   326.602
26.4068   314.697
28.5817   303.596
30.7619   293.191
32.9543   283.397
35.1649   274.141
37.3989   265.369
39.661   257.031
41.9554   249.087
44.2862   241.504
46.657   234.251
49.0713   227.302
51.5328   220.636
54.0445   214.231
56.6099   208.072
59.232   202.141
61.9141   196.426
64.6593   190.913
67.4708   185.591
70.3517   180.45
73.3052   175.481
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.752575   1225.46
11.2178   1088.88
19.1152   1000.77
25.6382   936.153
31.4815   883.812
36.9211   839.323
42.1013   800.393
47.109   765.658
52.0021   734.224
56.8215   705.473
61.598   678.957
66.3553   654.338
71.1128   631.353
75.8863   609.795
80.6896   589.496
85.5345   570.32
90.4314   552.15
95.39   534.892
100.419   518.463
105.527   502.792
110.72   487.82
116.008   473.491
121.396   459.759
126.892   446.584
132.501   433.927
138.232   421.755
144.09   410.04
150.082   398.754
156.214   387.874
161.24   377.376
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.475058   1385.39
12.0129   1236.6
20.8904   1137.99
28.2571   1065.23
34.8712   1006.12
41.0371   955.77
46.9144   911.645
52.6003   872.221
58.1592   836.51
63.637   803.817
69.0681   773.642
74.4793   745.606
79.8923   719.413
85.3251   694.832
90.7932   671.675
96.31   649.787
101.887   629.04
107.536   609.325
113.266   590.549
119.087   572.635
125.007   555.511
131.035   539.118
137.18   523.404
143.447   508.321
149.846   493.83
156.384   479.889
163.07   466.469
169.908   453.538
176.91   441.068
182.454   429.034
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.545181   1633.23
13.3518   1472.29
23.6657   1359.08
32.325   1274.36
40.1428   1205.02
47.455   1145.67
54.4411   1093.48
61.2107   1046.73
67.8377   1004.28
74.3747   965.351
80.8615   929.36
87.3292   895.873
93.8031   864.548
100.304   835.116
106.851   807.36
113.459   781.1
120.143   756.185
126.914   732.489
133.785   709.905
140.768   688.341
147.873   667.714
155.109   647.955
162.488   629.003
170.016   610.803
177.705   593.304
185.564   576.463
193.601   560.243
201.826   544.605
210.248   529.521
218.621   514.958
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.407159   2612.72
21.8929   2341.8
38.4826   2158.46
52.36   2021.7
64.853   1910.1
76.5136   1814.84
87.6357   1731.25
98.3997   1656.5
108.924   1588.74
119.298   1526.68
129.584   1469.39
139.832   1416.15
150.085   1366.39
160.374   1319.69
170.731   1275.69
181.18   1234.1
191.745   1194.68
202.444   1157.21
213.299   1121.53
224.325   1087.48
235.539   1054.94
246.96   1023.79
258.599   993.925
270.474   965.263
